songID | release date | popularity | length(s) | mood | keyID,songID,release date,popularity,length(s),mood,keyID
PL35454458351566519626362738;5/10/202248*328*0.046[1],PL35454458351566519626362738,2022-05-10,48,328,0.046,1
ME13649130413416941151;3/17/202265*382*0.963[5],,,,,,
PS441101029218121734369716801;8/12/202298*137*0.885[6],,,,,,
CZ1554869742733077057749;4/27/202217*382*0.264[13],,,,,,
KZ726396134477367173;10/10/202299*156*0.354[15],,,,,,
MC2190102202877188043186271;12/1/202278*428*0.934[2],,,,,,
GT33034081211780937118418242;1/13/202296*444*0.173[9],,,,,,
LB32335873427161061669436426;4/12/202252*481*0.214[2],,,,,,
MR5086158449944842866373340;1/10/202220*303*0.875[14],,,,,,
PT66234583812959322240516;2/3/202286*140*0.631[10],,,,,,
CY75271716119463538825731165;9/16/202241*441*0.516[8],,,,,,
DK0486264616823750;7/8/202224*418*0.533[7],,,,,,
PK4085840260167233662489;11/11/202278*310*0.759[3],,,,,,
BA690235408066452789;7/14/202210*173*0.19[6],,,,,,
NO6521735549835;11/9/202283*303*0.099[11],,,,,,
GE86518491212627867711;2/7/20222*131*0.038[3],,,,,,
IE22NOKU22161536829813;8/4/202279*365*0.681[13],,,,,,
AZ78933741064044534373676645;5/24/202284*476*0.517[3],,,,,,
LB73553826588021272916135014;3/1/202273*301*0.342[11],,,,,,
RS03477706211683755113;8/24/202257*375*0.959[4],,,,,,
ME88867816466712875712;11/12/202293*372*0.646[5],,,,,,
GL1664560292017775;3/16/202271*243*0.806[10],,,,,,
LU089387617541666333;3/11/202254*213*0.676[13],,,,,,
EE865216587828244553;6/27/202237*123*0.767[7],,,,,,
GI02GQOK281154487537966;3/16/202286*288*0.847[6],,,,,,
IS942331443583231427627637;2/5/202213*347*0.497[9],,,,,,
MT54RSSO15666356802371709848427;11/18/202281*210*0.223[5],,,,,,
PK4951228227841821997288;8/11/202210*117*0.095[10],,,,,,
CY63633171485846862097902157;12/10/202258*445*0.994[8],,,,,,
SM4813057439470863062193753;10/23/202282*451*0.133[12],,,,,,
HR6368894604282365738;6/15/202251*207*0.029[14],,,,,,
AL82472254651835473574056781;11/15/202238*499*0.168[1],,,,,,
KZ647817993914263022;8/22/202285*424*0.603[3],,,,,,
IS192487328631488045623722;5/25/202291*494*0.66[2],,,,,,
LB42132557671294214193596469;3/16/202245*319*0.977[3],,,,,,
KW9272219334893152367842826342;7/12/202270*345*0.341[10],,,,,,
HR6478581687521595618;9/19/20223*160*0.417[14],,,,,,
IE75PXIW52104794169174;5/17/202246*140*0.141[3],,,,,,
TR158655525570731691115703;8/7/202276*263*0.703[15],,,,,,
FR4878840710917394045733007;4/13/202227*482*0.711[9],,,,,,
SM5267384868972633343615553;11/3/20221*466*0.318[15],,,,,,
DE83092165176196322845;7/31/202234*78*0.373[15],,,,,,
GE32534116682529566859;9/25/202213*293*0.21[8],,,,,,
CH4081577405227247652;9/20/202274*186*0.768[4],,,,,,
FO3345023386758050;12/7/202227*215*0.966[3],,,,,,
SM1429101119427087683282342;7/28/202219*388*0.965[1],,,,,,
GE81112850634783875557;10/9/202231*336*0.969[13],,,,,,
IT318NLNSI44758854884231356;8/16/202214*211*0.399[2],,,,,,
SI25617403785122701;5/29/202275*78*0.046[7],,,,,,
LI7426264970126289268;4/2/20223*86*0.964[7],,,,,,
AD4241736663635567121079;1/24/202287*197*0.715[2],,,,,,
AZ29504210834952342348117523;1/5/202270*347*0.181[3],,,,,,
FO5527589211451677;9/7/202292*459*0.496[10],,,,,,
IT544XJBWI61366838113878477;5/12/202290*212*0.044[3],,,,,,
AD2924876187442424808797;9/24/202267*342*0.442[9],,,,,,
DO16183153417742651021044871;2/7/202242*87*0.966[13],,,,,,
CH7961944742958780887;1/28/202294*276*0.977[1],,,,,,
AT748145637061811880;10/26/202288*377*0.316[9],,,,,,
AL62286043886695824543727618;11/7/202236*105*0.673[5],,,,,,
GI08UPRP785384222819611;9/29/202264*454*0.484[2],,,,,,
DE11603216816459812256;12/29/202296*437*0.33[8],,,,,,
PS290611275518284152994815405;6/4/202254*110*0.2[13],,,,,,
CH5031898822281171088;7/6/20224*102*0.915[14],,,,,,
AD2448856332676144562646;11/24/202246*357*0.34[15],,,,,,
ES9270173831278776475287;9/7/202285*475*0.24[6],,,,,,
RO91FKBG2566760609526518;6/3/202241*238*0.776[1],,,,,,
LV36JYHI7827891866633;4/14/202238*218*0.862[3],,,,,,
AL82145649561001987763237335;12/12/202274*227*0.564[15],,,,,,
MD7781423682827536801098;9/1/20229*310*0.867[13],,,,,,
GR7830365791650887872962594;4/15/202257*192*0.98[5],,,,,,
MK38717864374201539;1/25/202233*450*0.43[13],,,,,,
PT65594227521703017068308;7/20/202297*84*0.74[9],,,,,,
LB82107232393645189691962266;3/24/202255*380*0.967[12],,,,,,
CR9659114831774174255;3/15/202234*296*0.7[9],,,,,,
GE37387464946452593804;2/22/202299*152*0.961[2],,,,,,
BA693774571407675280;3/3/202233*96*0.616[13],,,,,,
AT724685914846785523;1/9/202293*203*0.106[5],,,,,,
AE335152701433325425431;10/24/202276*310*0.336[14],,,,,,
MK86736622161465419;9/7/202271*84*0.536[7],,,,,,
PT10664561682773596688171;10/1/202235*234*0.909[4],,,,,,
IT597WLDCI50283225933561871;10/7/202242*467*0.592[11],,,,,,
GI46CXSQ765486325877524;9/7/202267*330*0.293[9],,,,,,
BA259782138281271382;7/12/20221*307*0.149[7],,,,,,
GE70721421554617868272;12/18/202259*226*0.491[13],,,,,,
LU596159685811623116;7/31/202254*340*0.286[14],,,,,,
MC0545243804238959533750396;6/7/202263*223*0.27[1],,,,,,
HR7552186749423403672;10/28/202291*240*0.907[6],,,,,,
MK14812164633537232;9/4/202263*252*0.79[13],,,,,,
CR3906420751204141579;1/4/202278*491*0.749[8],,,,,,
MR5550189423537155353466267;4/26/202270*151*0.639[5],,,,,,
CH6263076243343455912;5/16/20223*385*0.843[6],,,,,,
KW4354275044597109543434731671;5/25/202264*328*0.826[6],,,,,,
CR8505589135195494682;4/12/20223*204*0.617[11],,,,,,
IS191416782085871397587761;11/18/202243*99*0.729[12],,,,,,
ES8662991138666224269728;11/7/202283*103*0.481[4],,,,,,
RS91493627084148578030;2/22/20223*122*0.969[15],,,,,,
VG2242665877572447877792;11/21/202241*342*0.262[10],,,,,,
PL53436665172184877473613313;8/13/20224*289*0.394[2],,,,,,
DK0741935447151005;1/2/20228*131*0.402[9],,,,,,
PT17537258684926153411182;7/18/202264*408*0.27[5],,,,,,
IE12HSNM38755276104163;4/17/202223*313*0.425[2],,,,,,
